id,transaction_date,product_id,product_name,total_quantity_sold,total_sales
32810,2005-01-01 00:00:00.000000000,32810,Skincare,2,322.98
12528,2005-01-01 03:19:49.103782075,12528,Shoes,3,103.47
35435,2005-01-01 06:39:38.207564151,35435,Non-Fiction,1,49.28
12110,2005-01-01 09:59:27.311346226,12110,Fiction,4,112.54
35232,2005-01-01 13:19:16.415128302,35232,Vacuum Cleaner,3,1365.93
33481,2005-01-01 16:39:05.518910378,33481,Skincare,1,31.04
47150,2005-01-01 19:58:54.622692453,47150,Jacket,3,925.47
19760,2005-01-01 23:18:43.726474529,19760,Skincare,3,428.43
21059,2005-01-02 02:38:32.830256605,21059,Smartwatch,2,1474.86
3382,2005-01-02 05:58:21.934038680,3382,Blender,5,2396.35
35606,2005-01-02 09:18:11.037820756,35606,Smartphone,4,2440.29
34634,2005-01-02 12:38:00.141602832,34634,Makeup,4,181.75
2685,2005-01-02 15:57:49.245384907,2685,T-shirt,4,239.34
33656,2005-01-02 19:17:38.349166983,33656,Shoes,5,1612.96
32757,2005-01-02 22:37:27.452949058,32757,Shoes,4,1169.39
27644,2005-01-03 01:57:16.556731134,27644,Makeup,1,178.91
11676,2005-01-03 05:17:05.660513210,11676,Skincare,1,120.28
14162,2005-01-03 08:36:54.764295285,14162,Shoes,1,157.53
28632,2005-01-03 11:56:43.868077361,28632,Science,1,36.07
8181,2005-01-03 15:16:32.971859437,8181,T-shirt,3,476.57
21000,2005-01-03 18:36:22.075641512,21000,Jeans,5,1459.69
34749,2005-01-03 21:56:11.179423588,34749,Science,1,12.51
4028,2005-01-04 01:16:00.283205664,4028,Haircare,3,445.84
8815,2005-01-04 04:35:49.386987739,8815,Haircare,3,346.58
5265,2005-01-04 07:55:38.490769815,5265,Makeup,3,97.02
43041,2005-01-04 11:15:27.594551891,43041,Laptop,1,698.14
1250,2005-01-04 14:35:16.698333966,1250,Vacuum Cleaner,4,1766.41
47815,2005-01-04 17:55:05.802116042,47815,Smartwatch,1,1274.99
12310,2005-01-04 21:14:54.905898117,12310,Science,1,29.6
12402,2005-01-05 00:34:44.009680193,12402,Camera,1,720.08
20674,2005-01-05 03:54:33.113462269,20674,Headphones,5,1704.06
31012,2005-01-05 07:14:22.217244344,31012,Cookware Set,2,285.44
35278,2005-01-05 10:34:11.321026420,35278,Vacuum Cleaner,4,795.09
17573,2005-01-05 13:54:00.424808496,17573,Camera,3,1804.79
14873,2005-01-05 17:13:49.528590571,14873,Fiction,4,134.43
8175,2005-01-05 20:33:38.632372647,8175,Fiction,5,77.1
15838,2005-01-05 23:53:27.736154723,15838,Smartphone,3,4133.46
